dim,price,title,weight,rating
6 x 12.6 x 0.9 inches,$9.50,"T&G Auto Sleep/Wake Function Magnetic 360 Degree Rotating Smart Stand Case Cover for 9.7 inch iPad 2/3/4 Tablets with a Stylus as a Gift--Floral Embossed Flower Pattern,Black",1.8 ounces,2.7 out of 5 stars
2.4 x 12.4 x 10.8 inches,$14.99,Fisher-Price Laugh & Learn Blue Apptivity Case for iPad Devices,2.1 pounds,3.8 out of 5 stars
11 x 1 x 7.2 inches,$22.50,iPad Air Headrest Mount For Car- iPad Air and Air 2 - Holder in Car Will Keep the iPad Secure Within A Strong PU Leather Case. Safest iPad Car Mount,6.1 ounces,4.6 out of 5 stars
6.5 x 3.5 x 0.2 inches,$7.99,"iPad Mini Screen Protector,iPad Mini 2 3 Screen Protector Akimoom Premium Tempered Glass 2.5D 9H Hardness 0.26mm Ultra Slim Clear Scratch Proof Shatterproof Bubble-free Ballistic Liquid Glass Film",0.3 ounces,4.9 out of 5 stars
9.7 x 7.6 x 0.6 inches,$13.99,"iPad Case, iPad 2/3/4 Case, Alugs Ultra Slim Fashion Painting Cute Design PU Leather Wallet Magnetic Case Cover for Apple iPad 2/3/4 (Bear)",5.6 ounces,4.1 out of 5 stars
9.9 x 7.4 x 0.9 inches,$10.99,HDE Rotating iPad Case Magnetic Folding Leather Cover Folio Flip Stand for Apple iPad 2 iPad 3 iPad 4 (Pink & White Polka Dot),10.4 ounces,3.8 out of 5 stars
11.6 x 7.6 x 0.6 inches,$9.99,"Aduro ROTATA CABANA Pattern 360 Degrees Rotating Stand Case for Apple iPad 2, iPad 3 and iPad 4th Generation (Retail Packaging)",12 ounces,4.1 out of 5 stars
12 x 8.6 x 0.4 inches,,"Snugg iPad 2 / 3 / 4 Silicone Case in Black - Non-Slip Material, Protective and Soft to Touch for the Apple iPad 2 / iPad 3 / iPad 4",5 ounces,4.3 out of 5 stars
11.5 x 1.1 x 5.8 inches,$29.95,ChargerCity Music Mic Microphone Stand Tablet Mount with 360° Swivel Adjust Holder for Apple iPad Pro Air Mini Google Nexus Samsung Galaxy Tab 7 8 10 12 Surface Pro/Book (iPad & Stand is not included),2 pounds,3.9 out of 5 stars
9.6 x 7.4 x 0.6 inches,,"JETech Diamond Folio Leather Smart Cover iPad Case for Apple iPad 2, iPad 3, and the New iPad 4 with Built-in Stand and Front/Back Protection (Latest Version with Built-In Magnet for Sleep/Wake Feature) (Purple)",5 ounces,3.6 out of 5 stars
7.8 x 6.1 x 1 inches,$9.98,Dealgadgets 360 Degrees Slim Rotating Stand Leather Case Cover for Apple Ipad Mini 1/2 /3 Black,3.2 ounces,4 out of 5 stars
8.5 x 6 x 0.5 inches,$11.99,"iPad Mini Case - LittleMax(TM) Synthetic Leather Auto Wake/Sleep Stand Case [Card Holder] Flip Folio Wallet Case Cover for iPad Mini 1/2/3 [Free Cleaning Cloth,Stylus Pen]--#1 Colorful Circles",6.9 ounces,3.9 out of 5 stars
11.5 x 1.1 x 5.8 inches,$21.00,"iPad Air Case, Minion 14454 Smart Case Cover for iPad Air / iPad 5 with Stand Feature Auto Wake Up / Sleep",1 ounces,
0.7 x 7.2 x 10.2 inches,$82.02,"Logitech Type+ Protective Case with Integrated Keyboard for iPad Air 2, Black - Smooth Surface (920-006912)",15 ounces,4.4 out of 5 stars
9.6 x 7.9 x 0.8 inches,$19.99,"TOPSKY(TM) iPad 2 Case,iPad 3 Case,iPad 4 Case,Premium PU Leather And Fabric Case Smart Auto Wake/Sleep Cover with Velcro Hand Strap, Card Slots Case for iPad 2/3/4 ,With Stand Feature ,Grey-Brown",6.4 ounces,4.9 out of 5 stars
9.6 x 7.4 x 0.5 inches,$12.99,"iPad 2/3/4 Case, ESR Trifold Smart Case Cover with Semi-Transparent Back Cover and Auto Wake Up/Sleep Function for iPad 2/3/4(Mint Green)",7.7 ounces,3.5 out of 5 stars
9.7 x 6.8 x 1.1 inches,$6.99,Aurora® Auto Sleep/Wake Function 360 Degree Rotating Smart Case Cover for 9.7 inch iPad Air/ iPad 5 with a Stylus as a Gift--Brown,8.8 ounces,4 out of 5 stars
9.6 x 7.3 x 0.5 inches,$6.99 - $19.99,"Fintie SmartShell Case for Apple iPad 4th Generation with Retina Display, iPad 3 & iPad 2",4 ounces,4.2 out of 5 stars
9.9 x 6.9 x 0.5 inches,$13.95,"MoKo iPad Air 2 Case - [Kickstand] Durable Hybrid Silicone + Hard Polycarbonate Kid Proof Extreme Duty [Shock-Absorption] with Foldable Stand Protective Cover for Apple iPad 6 9.7 Inch Tablet, BLACK",7.2 ounces,4.3 out of 5 stars
11.5 x 8.1 x 1.5 inches,$17.99,"iPad Case, HAOCOO Extreme Heavy Duty Full Body Rugged Hybrid Protective PU Leather Smart Case Magnetic Cover with Sleep / Wake feature for Apple iPad 2/iPad 3/iPad 4 (Black)",1 pounds,3.4 out of 5 stars
9.6 x 6.6 x 1 inches,$7.99,SAVEICON 360 Degree Rotating Magnetic Polka Dot PU Leather Case Smart Cover With Swivel Stand For Apple iPad 4th Generation Retina Display / the new iPad 3 / iPad 2 (Wake/sleep Function) (Orange),12.8 ounces,3.7 out of 5 stars
12 x 9.2 x 1.8 inches,$11.28,AmazonBasics iPad Air and Netbook Bag with Handle Fits 7 to 10-Inch Tablets (Black),1.6 ounces,4.7 out of 5 stars
8.1 x 1.1 x 10.3 inches,$76.77,"OtterBox Defender Series Case with Screen Protector and Stand for iPad 4th Generation, iPad 2 and 3 - Black",15.8 ounces,4.6 out of 5 stars
12.6 x 6 x 0.9 inches,$24.99,Supcase Unicorn Beetle Pro Series Full-Body Rugged Hybrid Protective Case with Built-in Screen Protector for iPad 4 & 3 - Black/Black,1.4 ounces,4.4 out of 5 stars
8 x 5.4 x 0.5 inches,$11.99,iPad Retina Mini 3 Smart Case Gold with Cooling Series And Dual Super Slim Cover with Clear Back and neat Feature (Built-in Magnet for Sleep / Wake Feature) for Apple iPad Mini Tablet Complete Satisfaction and Money Back Guarantee,0.3 ounces,4.4 out of 5 stars
9.7 x 6.8 x 0.5 inches,$9.99,"ProCase Samsung Galaxy Tab PRO 10.1 Tablet Case - SlimSnug Hard Shell Stand Cover Case for Galaxy TabPRO 10.1 inch SM-T520,T525 (Green)",4.5 ounces,4.4 out of 5 stars
11.5 x 1.1 x 5.8 inches,$5.09,Jimi Hendrix Rock Music Phone Case (iPhone 5c),1 ounces,4.8 out of 5 stars
10.3 x 7.2 x 2 inches,$11.99,"iPad 2/3/4 Case - MagicSky Heavy Duty Shock-Absorption Rugged Hybrid Case Cover for iPad with Retina Display (iPad 4), iPad 3, iPad 2- Cyan/Black",9.6 ounces,3.9 out of 5 stars
10.1 x 8.4 x 1.3 inches,$13.69,"360° Rotating Belt Leather Case Smart Cover Stand for iPad 2, 3 & 4 - Brown",10.4 ounces,4.1 out of 5 stars
8.2 x 5.5 x 0.8 inches,$12.99,"iPad Mini1/ 2/ 3 Case, ATQ [ Blue Flower Pattern] 3in1 Hybrid Shockproof Hard Plastic with Soft TPU Triple Layer Armor Full Body Protective Case Cover Case For iPad Mini 1/2/3(Rose)",4.8 ounces,
10 x 7.6 x 0.6 inches,$14.65,"iPad Case, iPad 2 3 4 Case, Newshine [Perfect Fit] PU Leather Magnetic Flip Wallet SmartShell [Kickstand] Case Cover with [Auto Sleep/Wake Feature] for Apple iPad 4/iPad 3/iPad 2 (Sakura)",9.4 ounces,3.2 out of 5 stars
8.5 x 8.3 x 1 inches,$15.99,Afranker Ipad Mini / Mini 2 Shockproof Case Light Weight Kids Case Super Protection Cover Handle Stand Case for Kids Children for Apple Ipad Mini / Mini 2 Blue,7.2 ounces,4.1 out of 5 stars
9.1 x 7.6 x 1.1 inches,$14.99,"Fintie Apple iPad Air Case - 360 Degree Rotating Stand Case Cover with Auto Sleep / Wake Feature for iPad Air (iPad 5th Generation) 2013 Model, Black",9.6 ounces,4.4 out of 5 stars
9.4 x 6.9 x 0.8 inches,$12.99,"Fintie SmartShell Case for Apple iPad Air (iPad 5th Gen, 2013 Model) Ultra Slim Lightweight Stand with Smart Cover Auto Wake / Sleep, Purple",7 ounces,4.3 out of 5 stars
9.6 x 7.8 x 0.9 inches,$21.99,"Fintie iPad 2/3/4 Case - Slim Fit Folio Case with Smart Cover Auto Sleep / Wake Feature for Apple iPad 2, the new iPad 3 & iPad 4th Generation with Retina Display - Love Tree",11.2 ounces,4.4 out of 5 stars
11 x 8.2 x 1.2 inches,$19.04,"iPad Air Case, [CORNER PROTECTION] CaseCrown Bold Standby Pro (Purple) with Sleep / Wake, Hand Grip, Corner Protection, & Multi-Angle Viewing Stand",7.2 ounces,4.5 out of 5 stars
10.4 x 1 x 6.9 inches,$24.95,Apple iPad mini iPad mini Retina iPad mini 3 Drop Tech Light Blue Gumdrop Cases Silicone Rugged Shock Absorbing Protective Dual Layer Cover Case,8 ounces,4.7 out of 5 stars
12.8 x 2.4 x 9.8 inches,$19.50,Case Logic AUA-311 11.6-Inch Laptop/Chromebook and iPad Slim Case (Black),12.3 ounces,4.6 out of 5 stars
10.7 x 8.5 x 1.1 inches,$13.99,"iPad 4 Case,iPad 3 Case,iPad 2 Case,TIANLI(TM) ArmorBox [Three Layer] Convertible [Heavy Duty] Rugged Hybrid Protective With KickStand Case For iPad 2/iPad 3/iPad 4 With Stylus,Red/Black",1.1 pounds,4 out of 5 stars
8 x 5.3 x 0.4 inches,$49.99,"iPad Mini 1 / 2 / 3 360 Rotatable Keyboard Case, Snugg - Ultra Slim Keyboard Cover Case with Bluetooth Connectivity (Hot Pink) For Apple iPad Mini 1 / 2 / 3 Retina",5.6 ounces,4.3 out of 5 stars
10.8 x 8.5 x 0.3 inches,$14.99,"iPad Air Case, Vogue Shop 3in1 Hybrid Case Cover for iPad 5 (2013 Release) Hard Cover Printed Design Pc+ Silicone Hybrid High Impact Defender Case Combo Hard Soft Case Cover (Navy+Green)",13.6 ounces,3.7 out of 5 stars
9.5 x 7.5 x 0.8 inches,$14.99,"Fintie (Red) Folio Leather Case Cover for iPad 4th Generation With Retina Display, the New iPad 3 & iPad 2 (Built-in magnet for sleep / wake feature)-9 color options",9.6 ounces,4.4 out of 5 stars
9.5 x 6.8 x 0.5 inches,$14.94,iPad Air 2 Case (iPad 6) - KHOMO DUAL Super Slim Black Cover with Rubberized back and Smart Feature (Built-in magnet for sleep / wake feature) For Apple iPad Air 2 Tablet,6.1 ounces,4.6 out of 5 stars
7.2 x 9.8 x 0.6 inches,$29.93,APPLE IPAD AIR SMART CASE BEIGE (MF048LL/A),3.2 ounces,4.3 out of 5 stars
12.3 x 7.7 x 1.3 inches,$42.51,OtterBox Defender Series Case for iPad Air - Frustration-Free Packaging - Glacier - White/Grey,1.3 pounds,4.3 out of 5 stars
9.5 x 7.2 x 1 inches,$17.95,"Members Only Genuine Leather Stand Up Portfolio Case Cover For Apple iPad 2, 3, 4 Blood Ox Red - Retail Packaging",9.6 ounces,1.5 out of 5 stars
8.3 x 6.3 x 0.6 inches,$15.00,TFY iPad Mini & Mini 2 & Mini 3 & iPad Mini 4 Car Headrest Mount Holder,4.8 ounces,4.6 out of 5 stars
6.5 x 6 x 2 inches,$29.99,"Case Scenario 2-Port USB Wall Charger Travel Kits with 4 Interchangeable Plugs (US, UK, EU, AU) for Apple iphone, ipad, ipod, Android Smartphone, Tablet and other USB Charger Devices etc - AURORA",8 ounces,
11.2 x 7.9 x 1 inches,$5.99,Nozza 360 Degree Rotating iPad 2 Case (Stylish Lucky Flowers Pink): Folio Convertible Cover Multi-angle Vertical and Horizontal Stand with Smart On/Off for the Apple iPad 2/the New iPad (iPad 3)/iPad 4 NOT for iPad Air,9.6 ounces,3.9 out of 5 stars
10.5 x 8.5 x 1.1 inches,$24.99,"Logitech Type+ Protective Case with Integrated Keyboard for iPad Air 2, Dark Blue (Certified Refurbished)",1.1 pounds,4.3 out of 5 stars
9 x 5.7 x 1 inches,$9.99,"IDEgg? Folio Patterns Luxury pu Leather Smart Stand Case Cover with Auto Wake/Sleep for Apple iPad Mini 1/2/3 Case(Blue with Drill buckle, Ipad mini 1/2/3)",4.8 ounces,4.7 out of 5 stars
12 x 0.8 x 9.1 inches,$39.95,Apple iPad Air 2 Drop Tech Blue Gumdrop Cases Silicone Rugged Shock Absorbing Protective Dual Layer Cover Case,9.6 ounces,4.3 out of 5 stars
8 x 5.4 x 0.5 inches,$14.99,"ProCase Apple iPad mini with Retina Display Case with bonus stylus pen - Flip Stand Leather Folio Cover for iPad mini 2 (2013) and iPad mini (2012), with Smart Cover Auto Sleep/Wake (Purple)",2.2 ounces,4.7 out of 5 stars
2.4 x 12.4 x 10.8 inches,$17.53,"Fisher-Price Laugh & Learn Case for iPad, Red",2.2 pounds,4.2 out of 5 stars
7.4 x 9.5 x 0.4 inches,$24.99,"Targus Versavu Rotating Case and Stand for iPad 3 and 4, Charcoal Gray/Calypso Pink (THZ15606US)",14.6 ounces,4.4 out of 5 stars
8 x 0.3 x 5.5 inches,$12.49,"iPad case,iPad Air case, iPad 5 Case, ACEGUARDER Light Weight Shockproof Kids Friendly Handle Cases Cover with stand (Rose, iPad 5 (Air))",6.1 ounces,4.2 out of 5 stars
10 x 8.4 x 0.9 inches,$16.99,"Fintie Apple iPad Air Folio Case - Slim Fit Leather Smart Cover with Auto Sleep / Wake Feature for iPad Air (iPad 5th Generation) 2013 Model, Pink",9 ounces,4.5 out of 5 stars
11 x 10.1 x 1 inches,$14.90,NewStyle PU007 Shockproof Handle Stand Case for Apple iPad 2/3/4 - Blue,7 ounces,4.3 out of 5 stars
9 x 0.8 x 13 inches,$62.99,"Targus Versavu Classic Rotating Case for iPad Pro & Other 12.9"" Tablets (THZ631GL)",1.2 pounds,3.6 out of 5 stars
8.1 x 5.6 x 0.6 inches,$12.99,"iPad Mini Case,iPad Mini 3 Case,ULAK 360 Degree Rotating Synthetic Leather Case Cover for Apple iPad Mini 1/2/3 (7.9-inch) with Auto Sleep/Wake Function(Wave and Dot-Pink)",0.3 ounces,4.3 out of 5 stars
8.9 x 7.5 x 0.6 inches,$16.99,"iPad Mini Case, VAKOO iPad Mini 3 2 1 Case Kids Proof Shockproof Drop Proof Soft Silicone Portable Light Weight Handle Case Cover for iPad Mini 3, iPad Mini Retina Display and iPad Mini (Pink/Blue)",8.5 ounces,4.3 out of 5 stars
9.7 x 6.9 x 0.6 inches,$12.99,ULAK iPad air 2 Case - 360 Degree Rotating Case for Apple iPad Air 2 Synthetic Leather Cover with Auto Sleep/Wake Feature_(iPad 6) 2014 Model (Mint+Pink),9.6 ounces,4.5 out of 5 stars
9.5 x 6.8 x 0.3 inches,$16.99,"Fintie iPad Air 2 Case - Ultra Slim Lightweight Stand Smart Cover with Auto Sleep/Wake Feature for Apple iPad Air 2 (iPad 6) 2014 Model, Leaf Breeze",8.5 ounces,4.3 out of 5 stars
0.7 x 7.5 x 9.8 inches,$29.99,Belkin Slim Style Case / Cover for iPad Air 2 and iPad Air (Blacktop & Gravel),12.5 ounces,4.2 out of 5 stars
9.8 x 7.7 x 1.1 inches,$19.99,"Fintie Apple iPad 2/3/4 Case - 360 Degree Rotating Stand Smart Case Cover for iPad with Retina Display (iPad 4th Generation), the new iPad 3 & iPad 2 (Auto Wake/Sleep Feature) - Vintage Antique Bronze",13.6 ounces,4.3 out of 5 stars
14 x 10 x 1 inches,$19.99,"Laptop Shoulder Bag / Briefcase, Mosiso Denim Fabric Shoulder Bag Briefcase Carry Case for 12.9 iPad Pro / 13.3 Inch Laptop / Notebook Computer / MacBook Air / MacBook Pro, Gray",12.8 ounces,4.7 out of 5 stars
8.5 x 5.8 x 0.9 inches,$9.99,"IDEGG? Fashion PU Leather Crown Design Bling Protective Smart Stand Case Cover with Auto Wake/Sleep for Apple iPad Mini 1/2/3 Case(Rose, Ipad mini 1/2/3)",6.4 ounces,4.7 out of 5 stars
9.2 x 7.4 x 0.5 inches,$7.99,"iPad Case,iPad 2/3/4 Case, BENTOBEN Silicone Plastic 3 in 1 Hybrid Shockproof & Drop Resistance Anti-slip cover for iPad Case iPad 2/3/4 Case(Zebra+Rose Red)",8.8 ounces,4 out of 5 stars
6 x 12.6 x 0.9 inches,$12.99,Pepkoo Ipad Mini 1& 2 Case Plastic Kid Proof Extreme Duty Dual Protective Back Cover with Kickstand and Sticker for Ipad Mini 1&2 - Rainproof Sandproof Dust-proof Shockproof (Black/black),1.8 ounces,4 out of 5 stars
11.6 x 8.2 x 1.5 inches,$17.99,"iPad Case, HAOCOO Extreme Heavy Duty Full Body Rugged Hybrid Protective PU Leather Smart Case Magnetic Cover with Sleep / Wake feature for Apple iPad 2/iPad 3/iPad 4 (Aqua with Black)",0.3 ounces,3.4 out of 5 stars
10.1 x 7.4 x 1 inches,$9.99,"COCOANUT Auto Sleep/Wake Function 360 Degree Rotating Smart Case Cover for 9.7 inch the new iPad (4th Generation)/iPad 3 / iPad 2 with a Stylus as a Gift--Grid Pattern,Yellow",10.4 ounces,3.6 out of 5 stars
10.9 x 8.1 x 1.4 inches,$42.76,"OtterBox Defender Series Case with Screen Protector - Stand for iPad 2,3,4 - Black",1.1 pounds,4.6 out of 5 stars
